Name,Type,Category,Price,Location,County,No. of Bedrooms,No. of Bathrooms,No. of Ensuite Bedrooms,Date,Floor_area_sqm,Land_Size,Elevator,Parking,Condition,DSQ,Floor_Number,URL
1 Bed Apartment at Riverside Drive,Residential,Apartment,"KSh 11,000,000","Riverside, Westlands",Nairobi,1,1,1,2026-06-15,69,,1,1,,0,,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-riverside-4009966
1 Bed Apartment in Westlands Area,Residential,Apartment,"KSh 4,000,000","Westlands Area, Westlands",Nairobi,1,1,1,2026-06-15,,,1,1,,0,,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-westlands-area-4009960
1 Bed Apartment at Vihiga Road,Residential,Apartment,"KSh 7,200,000",Kileleshwa,Nairobi,1,1,1,2026-06-15,62,,1,1,,0,,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-kileleshwa-4009955
2 Bed Apartment at St. Michael'S Road,Residential,Apartment,"KSh 15,000,000","Westlands Area, Westlands",Nairobi,2,2,1,2026-06-15,143,,1,1,,0,,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-westlands-area-4009950
1 Bed Apartment at St. Michael'S Road,Residential,Apartment,"KSh 7,000,000","Westlands Area, Westlands",Nairobi,1,1,1,2026-06-15,71,,1,1,,0,,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-westlands-area-4009945
2 Bed Apartment in Kilimani,Residential,Apartment,"KSh 6,000,000",Kilimani,Nairobi,2,2,1,2026-06-15,53,,1,1,,0,,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-kilimani-4009943
1 Bed Apartment at Vihiga Road,Residential,Apartment,"KSh 7,800,000",Kileleshwa,Nairobi,1,1,1,2026-06-15,68,,1,1,,0,,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-kileleshwa-4009942
1 Bed Apartment in Kilimani,Residential,Apartment,"KSh 3,000,000",Kilimani,Nairobi,1,1,1,2026-06-15,,,1,1,,0,,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-kilimani-4009940
2 Bed Apartment at Vihiga Road,Residential,Apartment,"KSh 14,000,000",Kileleshwa,Nairobi,2,2,1,2026-06-15,95,,1,1,,0,,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-kileleshwa-4009937
2 Bed Apartment at Off Nyangumi Rd,Residential,Apartment,"KSh 15,000,000",Kilimani,Nairobi,2,2,1,2026-06-15,95,,1,1,,0,,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-kilimani-4009935
